state_ut,city,district,district_option2,other_1,comments
Andhra Pradesh,Guntur,Guntur,,,
Andhra Pradesh,Kurnool,Kurnool,,,
Andhra Pradesh,Nellore,Nellore,,,
Andhra Pradesh,Vijayawada,Krishna,Guntur,NTR,
Andhra Pradesh,Vishakhapatnam,Visakhapatnam,,,
Assam,Guwahati,Kamrup Metropolitan,,,There is also a Kamrup in the dataset. Not sure if that should be included.
Assam,Nagaon,Nagaon,,,
Assam,Nalbari,Nalbari,,,
Assam,Sibsagar,Sivasagar,,,
Assam,Silchar,Cachar,,,
Bihar,Gaya,Gaya,,,
Bihar,Muzaffarpur,Muzaffarpur,,,
Bihar,Patna,Patna,,,
Chandigarh,Chandigarh,Chandigarh,,,
Chhattisgarh,Bhilai,Durg,,,
Chhattisgarh,Korba,Korba,,,
Chhattisgarh,Raipur,Raipur,,,
NCT of Delhi,NCT of Delhi,NCT of Delhi,,,
Gujarat,Ahmedabad,Ahmadabad,,,
Gujarat,Surat,Surat,,,
Himachal Pradesh,Baddi,Solan,,,
Himachal Pradesh,Damtal,Kangra,,,
Himachal Pradesh,Kala Amb,Sirmaur,,,
Himachal Pradesh,Nalagarh,Solan,,,
Himachal Pradesh,Paonta Sahib,Sirmaur,,,
Himachal Pradesh,Parwanoo,Solan,,,
Himachal Pradesh,Sunder Nagar,Mandi,,,
Jammu & Kashmir,Jammu,Jammu,,,
Jammu & Kashmir,Srinagar,Srinagar,,,
Jharkhand,Dhanbad,Dhanbad,,,
Karnataka,Bengaluru,Bangalore,,,There is Bangalore Rural district in the dataset. Maybe what we have is Bangalore Urban. But I am unsure as to whether both of them are included in the NCAP.
Karnataka,Devanagere,Davanagere,,,
Karnataka,Gulburga,Kalaburagi,,,
Karnataka,Hubli-Dharwad,Dharwad,,,
Madhya Pradesh,Bhopal,Bhopal,,,
Madhya Pradesh,Dewas,Dewas,,,
Madhya Pradesh,Gwalior,Gwalior,,,
Madhya Pradesh,Indore,Indore,,,
Madhya Pradesh,Sagar,Sagar,,,
Madhya Pradesh,Ujjain,Ujjain,,,
Maharashtra,Akola,Akola,,,
Maharashtra,Amravati,Amravati,,,
Maharashtra,Aurangabad,Aurangabad,,,
Maharashtra,Badlapur,Thane,,,
Maharashtra,Chandrapur,Chandrapur,,,
Maharashtra,Jalgaon,Jalgaon,,,
Maharashtra,Jalna,Jalna,,,
Maharashtra,Kolhapur,Kolhapur,,,
Maharashtra,Latur,Latur,,,
Maharashtra,Mumbai,Mumbai Suburban,,,"I am assuming that ""Mumbai"" is ""Mumbai Suburban"" and ""Navi Mumbai"" is ""Mumbai City""."
Maharashtra,Nagpur,Nagpur,,,
Maharashtra,Nashik,Nashik,,,
Maharashtra,Navi Mumbai,Mumbai City,,,
Maharashtra,Pune,Pune,,,
Maharashtra,Sangli,Sangli,,,
Maharashtra,Solapur,Solapur,,,
Maharashtra,Ulhasnagar,Thane,,,
Meghalaya,Byrnihat,Ri Bhoi,,,
Nagaland,Dimapur,Dimapur,,,
Nagaland,Kohima,Kohima,,,
Odisha,Angul,Anugul,,,
Odisha,Balasore,Baleshwar,,,
Odisha,Bhubneshwar,Khordha,,,
Odisha,Cuttack,Cuttack,,,
Odisha,Rourkela,Sundargarh,,,
Odisha,Talcher,Anugul,,,
Punjab,Amritsar,Amritsar,,,
Punjab,Dera Bassi,Chandigarh,,,
Punjab,Gobindgarh,Fatehgarh Sahib,,,
Punjab,Jalandhar,Jalandhar,,,
Punjab,Khanna,Ludhiana,,,
Punjab,Ludhiana,Ludhiana,,,
Punjab,Naya Nangal,Rupnagar,,,
Punjab,Pathankot/Dera Baba,Pathankot,,,"Is Dera Baba, another name for Pathankot?"
Punjab,Patiala,Patiala,,,
Rajasthan,Alwar,Alwar,,,
Rajasthan,Jaipur,Jaipur,,,
Rajasthan,Jodhpur,Jodhpur,,,
Rajasthan,Kota,Kota,,,
Rajasthan,Udaipur,Udaipur,,,
Tamil Nadu,Tuticorin,Thoothukudi,,,
Telangana,Hyderabad,Hyderabad,,,
Telangana,Nalgonda,Nalgonda,,,
Telangana,Patancheru,Sangareddy,,,
Telangana,Sangareddy,Sangareddy,,,
Uttar Pradesh,Agra,Agra,,,
Uttar Pradesh,Allahabad,Prayagraj,,,
Uttar Pradesh,Anpara,Sonbhadra,,,
Uttar Pradesh,Bareily,Bareilly,,,
Uttar Pradesh,Firozabad,Firozabad,,,
Uttar Pradesh,Gajraula,Amroha,,,
Uttar Pradesh,Ghaziabad,Ghaziabad,,,
Uttar Pradesh,Jhansi,Jhansi,,,
Uttar Pradesh,Kanpur,Kanpur Dehat,,,"There is also a Kanpur Nagar in Uttar Pradesh, but I have not taken that."
Uttar Pradesh,Khurja,Bulandshahr,,,
Uttar Pradesh,Lucknow,Lucknow,,,
Uttar Pradesh,Moradabad,Moradabad,,,
Uttar Pradesh,Noida,Gautam Buddha Nagar,,,
Uttar Pradesh,Raebareli,Rae Bareli,,,
Uttar Pradesh,Varanasi,Varanasi,,,
Uttarakhand,Kashipur,Udham Singh Nagar,,,
Uttarakhand,Rishikesh,Dehradun,,,
West Bengal,Kolkata,Kolkata,,,
